Omitted dimension,Omitted dimension display,Was critical dimension,Client,Baseline admitted,Ablated admitted,Admission status changed,Baseline decision,Ablated decision,Decision category changed,Baseline HPS,Ablated HPS,Delta HPS,Baseline critical HPS,Ablated critical HPS,Delta critical HPS,Baseline critical minimum,Ablated critical minimum
regulatory,Regulatory,True,client_014,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.529411764705882,-0.0705882352941174,4.857142857142858,4.818181818181818,-0.03896103896103931,4.0,4.0
regulatory,Regulatory,True,client_015,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.9090909090909096,0.19480519480519476,3.0,3.0
regulatory,Regulatory,True,client_016,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.4558823529411766,0.2183823529411768,2.3392857142857144,2.7045454545454546,0.3652597402597402,1.0,1.0
regulatory,Regulatory,True,client_017,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.294117647058824,0.04411764705882426,4.357142857142857,4.454545454545455,0.09740259740259827,4.0,4.0
regulatory,Regulatory,True,client_018,False,False,False,AUTO_REJECT,REMEDIATE,True,2.9875,3.1617647058823533,0.17426470588235343,2.982142857142857,3.25,0.2678571428571428,2.0,2.0
regulatory,Regulatory,True,client_019,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.9090909090909096,0.19480519480519476,3.0,3.0
context,Context,True,client_000,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.666666666666666,0.06666666666666643,4.857142857142858,4.999999999999999,0.14285714285714146,4.0,5.0
context,Context,True,client_001,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.4375,3.486111111111111,0.04861111111111116,3.6250000000000004,3.7291666666666665,0.10416666666666607,3.0,3.0
context,Context,True,client_002,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.1666666666666665,0.1166666666666667,3.0714285714285716,3.2499999999999996,0.17857142857142794,2.0,2.0
context,Context,True,client_003,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.277777777777778,0.02777777777777768,4.357142857142857,4.416666666666666,0.05952380952380931,4.0,4.0
context,Context,True,client_004,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.375,0.13750000000000018,2.3392857142857144,2.5624999999999996,0.22321428571428514,1.0,1.0
context,Context,True,client_005,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.5555555555555554,0.05555555555555536,3.714285714285715,3.8333333333333326,0.11904761904761774,3.0,3.0
context,Context,True,client_006,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.1666666666666665,0.1166666666666667,3.0714285714285716,3.2499999999999996,0.17857142857142794,2.0,2.0
context,Context,True,client_007,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.666666666666666,0.06666666666666643,4.857142857142858,4.999999999999999,0.14285714285714146,4.0,5.0
context,Context,True,client_008,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.5555555555555554,0.05555555555555536,3.714285714285715,3.8333333333333326,0.11904761904761774,3.0,3.0
context,Context,True,client_009,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.444444444444444,0.14444444444444438,2.428571428571429,2.666666666666666,0.23809523809523725,1.0,1.0
context,Context,True,client_010,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.277777777777778,0.02777777777777768,4.357142857142857,4.416666666666666,0.05952380952380931,4.0,4.0
context,Context,True,client_011,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.5555555555555554,0.05555555555555536,3.714285714285715,3.8333333333333326,0.11904761904761774,3.0,3.0
context,Context,True,client_012,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.1666666666666665,0.1166666666666667,3.0714285714285716,3.2499999999999996,0.17857142857142794,2.0,2.0
context,Context,True,client_013,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.444444444444444,0.14444444444444438,2.428571428571429,2.666666666666666,0.23809523809523725,1.0,1.0
context,Context,True,client_014,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.666666666666666,0.06666666666666643,4.857142857142858,4.999999999999999,0.14285714285714146,4.0,5.0
context,Context,True,client_015,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.5555555555555554,0.05555555555555536,3.714285714285715,3.8333333333333326,0.11904761904761774,3.0,3.0
context,Context,True,client_016,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.375,0.13750000000000018,2.3392857142857144,2.5624999999999996,0.22321428571428514,1.0,1.0
context,Context,True,client_017,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.277777777777778,0.02777777777777768,4.357142857142857,4.416666666666666,0.05952380952380931,4.0,4.0
context,Context,True,client_018,False,False,False,AUTO_REJECT,REMEDIATE,True,2.9875,3.0972222222222223,0.1097222222222225,2.982142857142857,3.145833333333333,0.16369047619047583,2.0,2.0
context,Context,True,client_019,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.5555555555555554,0.05555555555555536,3.714285714285715,3.8333333333333326,0.11904761904761774,3.0,3.0
